objectid,identifier,display_template,object_location,image_small,image_thumb,title,date,decade,object_transcript,subject,location,source,type,format,language,rights,rightsstatement
ais_bs_115,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-10-26, Teacher wanted Whatcom County",1897-10-26,1890-1899,"N-3 DR Tues Oct 26, 1897
Teacher wanted... District 32. Address Clerk, Beach P.O. Whatcom Co.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_116,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-01-09, School tax levy",1897-10-26,1890-1899,"N-10 The Blade Sat Jan 9, 1897
Tax levy for 1897
Special school taxes
Dist 32... 311.48... 10 mills
(road district #3 levy was 175.61, 6.3 mills)",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_117,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-03-02, Notice of school bonds sale",1897-03-02,1890-1899,"N-10 The Blade Tues Mar 2, 1897 and other issues
NOTICE OF SALE OF SCHOOL BONDS
Notice is hereby given that on Sat the 27th day of Mar AD 1897 at the hr of 2 o'cl in the afternoon of said day at the office of the co. treas together with the bd of direc. of school dist #32 of What Co Wa will open and consider bids for the purchase of school bonds issued by the bd of direct. of said dist in the sum of 1000.00 payable 5 years after date interest payable semi annually, princ. and interest payable at the office of the co. treas of What Co. Wa. Bidders are requested to submit sealed bids of prices and rates of interest at which they will purchase said bonds. Said bids to be filled with me at my office on or bef the time above named for said sale. V.A. Roeder, Treas of What Co. Wa dated at New What Feb 24, 1897 [over]","Roeder, V. A.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_118,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-04-29, Lummi school bonds sold",1897-04-29,1890-1899,"N-10 The Blade Thurs Apr 29, 1897
LI School Dist No. 52 (32) has succeeded in selling its school bonds at 1% above par. The bonds are 8% and amount of 1000.00.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_119,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-05-04, School fund apportionment ruling",1897-05-04,1890-1899,"N-10 The Blade Tues May 4, 1897
Under the new school law the school funds are apportioned upon the ratio of daily attendance, .01114 mill being allowed for each day's attendance, the enrollment not being taken into consideration; under the old law in force last year the amount apportioned in Whatcom last year yielded a rate of .889 per scholar. County Supt Tanner has complete the apportionment for this year andf furn. the foll. figs showing gains and losses made under the new law as compared with the last apportionment under the old law by the various distr. in What. Co.: 
No. 32, Census 45
Old Law: Amt Recd 40.00, Days Atten 2000
New Law: Atm Rec 22.28","Tanner, J. W.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_120,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-05-08, Apportionment impact on days",1897-05-08,1890-1899,"N-10 The Blade Sat May 8, 1897
Under the new apport. law each dist. credited with at least 2,000 days.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_121,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-06-24, Whatcom County treasurer notice",1897-06-24,1890-1899,"N-10 The Blade Thurs Jun 24, 1897
Notice that What Co. Treas. will pay on presentation orders drawn on funds listed: School Dist 32 - orders on special fund to No. 4 inclusive registered Nov 18, 1895",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_122,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-10-26, School funds distribution",1897-10-26,1890-1899,"N-10 The Blade Tues Oct 26, 1897
School Funds Dist,
Amt per pupil .02483
Dist. 32
No. Children-Days attendance 2606
Amt Dist. 64.70",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_123,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-12-09, New teacher Isabell McDermoth",1897-12-09,1890-1899,"N-10 The Blade Thurs Dec. 9, 1897
Miss Isabell McDermoth is teaching private school on L.I.","McDermoth, Isabell","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_124,IMG_5716,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5716.jpeg,"1897-12-18, Necessary school attendance article passed",1897-12-18,1890-1899,"N-10 The Blade Sat Dec 18, 1897
Art. re necessary school attend. under school law passed by legis. and summons issued to non compliers.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
